gene_a,gene_b,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
NUF2,TOP2A,0.936,0.0,0.0,0.0,0.819,0.0,0.0,0.661
WDHD1,EXO1,0.935,0.0,0.0,0.0,0.867,0.114,0.0,0.497
CDK1,CCNE2,0.933,0.0,0.0,0.0,0.356,0.722,0.0,0.657
CENPE,KIF15,0.932,0.0,0.0,0.0,0.855,0.0,0.4,0.288
CDC6,CCNE2,0.931,0.0,0.0,0.0,0.572,0.0,0.4,0.755
CDC6,CCNB1,0.931,0.0,0.0,0.0,0.527,0.574,0.0,0.686
NCAPG,NUF2,0.93,0.0,0.0,0.0,0.865,0.0,0.0,0.505
RAD51AP1,EXO1,0.928,0.0,0.0,0.0,0.645,0.0,0.5,0.627
KIF11,ZWINT,0.928,0.0,0.0,0.0,0.794,0.0,0.0,0.665
KIF23,TOP2A,0.927,0.0,0.0,0.0,0.726,0.292,0.0,0.656
KNTC1,ZWINT,0.927,0.0,0.0,0.0,0.282,0.0,0.0,0.903
SPAG5,CDK1,0.927,0.0,0.0,0.0,0.761,0.354,0.0,0.566
CENPE,TOP2A,0.926,0.0,0.0,0.0,0.855,0.0,0.0,0.512
ZWINT,RACGAP1,0.925,0.0,0.0,0.0,0.773,0.0,0.0,0.684
AURKA,KIF23,0.924,0.0,0.0,0.0,0.694,0.091,0.0,0.749
ESPL1,SPAG5,0.922,0.0,0.0,0.0,0.847,0.0,0.0,0.514
CCNB1,KIF23,0.922,0.0,0.0,0.0,0.84,0.0,0.0,0.532
KIF23,KIF18A,0.921,0.0,0.0,0.0,0.772,0.0,0.54,0.313
NCAPG,CENPE,0.92,0.0,0.0,0.0,0.859,0.0,0.0,0.459
NCAPG,KIF15,0.919,0.0,0.0,0.0,0.851,0.0,0.0,0.479
CCNB1,KIF15,0.916,0.0,0.0,0.0,0.812,0.062,0.0,0.565
CDC6,WDHD1,0.916,0.0,0.0,0.0,0.714,0.077,0.0,0.708
KIF11,KNTC1,0.915,0.0,0.0,0.208,0.819,0.0,0.0,0.454
EXO1,EME1,0.915,0.0,0.0,0.0,0.359,0.14,0.5,0.729
KIF23,CDK1,0.914,0.0,0.0,0.0,0.808,0.0,0.0,0.57
ESPL1,SGO2,0.913,0.0,0.0,0.0,0.193,0.0,0.5,0.802
TPX2,ZWINT,0.913,0.0,0.0,0.0,0.771,0.0,0.0,0.639
KIF23,NUF2,0.912,0.0,0.0,0.0,0.8,0.0,0.0,0.58
KIF11,PLK4,0.912,0.0,0.0,0.0,0.821,0.069,0.0,0.518
CCNB1,ECT2,0.911,0.0,0.0,0.0,0.62,0.071,0.0,0.768
