gene_name,weighted_degree,degree,degree_centrality,betweenness_centrality,closeness_centrality,community_id,log2FoldChange,abs_log2FoldChange,padj
RCOR2,0.0,0,0.0,0.0,0.0,35,3.52235370777573,3.52235370777573,3.044252345165924e-158
ABLIM3,0.0,0,0.0,0.0,0.0,62,-3.450121468385133,3.450121468385133,1.0616773246003191e-135
TNS1,0.0,0,0.0,0.0,0.0,58,-3.2529507595267706,3.2529507595267706,1.1009431942764086e-139
CCDC170,0.0,0,0.0,0.0,0.0,43,-3.242554711252914,3.242554711252914,4.963522458588527e-152
FAM72A,0.0,0,0.0,0.0,0.0,31,3.2003118159658457,3.2003118159658457,6.131104049633286e-161
MTFR2,0.0,0,0.0,0.0,0.0,16,3.191466255014848,3.191466255014848,8.239515999311033e-176
FAM72B,0.0,0,0.0,0.0,0.0,29,3.1887752239365983,3.1887752239365983,5.675580028540439e-161
PRR11,0.0,0,0.0,0.0,0.0,9,3.0501804964269885,3.0501804964269885,4.4832503965749237e-191
RAI2,0.0,0,0.0,0.0,0.0,59,-2.843486416383294,2.843486416383294,1.5901071503385745e-138
FAXDC2,0.0,0,0.0,0.0,0.0,60,-2.830035741177677,2.830035741177677,7.254202189562721e-138
RAPGEF3,0.0,0,0.0,0.0,0.0,19,-2.814466115380942,2.814466115380942,2.6457330353201992e-171
AUNIP,0.0,0,0.0,0.0,0.0,38,2.7469838895238494,2.7469838895238494,1.2037479548707348e-156
TICRR,0.0,0,0.0,0.0,0.0,49,2.7436653786060248,2.7436653786060248,2.1938757127469838e-147
NOSTRIN,0.0,0,0.0,0.0,0.0,26,-2.731168799822824,2.731168799822824,4.163213354436168e-163
PDGFD,0.0,0,0.0,0.0,0.0,57,-2.632065094822297,2.632065094822297,9.480014280774626e-141
TNS2,0.0,0,0.0,0.0,0.0,53,-2.3711916760486584,2.3711916760486584,4.1062177737610934e-144
AC012073.1,0.0,0,0.0,0.0,0.0,33,2.321681638327198,2.321681638327198,2.920327963398005e-159
ANP32E,0.0,0,0.0,0.0,0.0,30,2.147763640297604,2.147763640297604,6.015581799157884e-161
KLHDC1,0.0,0,0.0,0.0,0.0,46,-2.105469204247761,2.105469204247761,8.561630971750131e-149
CTPS1,0.0,0,0.0,0.0,0.0,28,2.0280778066983003,2.0280778066983003,4.623289438925983e-162
HDGF,0.0,0,0.0,0.0,0.0,15,1.7684273327744775,1.7684273327744775,1.2196601995110816e-176
