community_id,module_size,mean_weighted_degree,mean_abs_log2FoldChange
2,3,2.3173333333333335,2.1095482813930713
1,3,1.1159999999999999,2.47721670627055
3,2,1.498,2.725594134289649
6,2,0.84,3.3510109356710736
5,2,0.813,2.353189136015482
4,2,0.716,4.237978036632866
7,1,0.0,2.4952434166248425
8,1,0.0,3.2296695959723833
9,1,0.0,3.877490393606592
10,1,0.0,4.423139422758476
11,1,0.0,3.816940964743462
12,1,0.0,2.335465334904562
13,1,0.0,4.357343368222775
14,1,0.0,3.858461353691327
15,1,0.0,3.764136767246012
16,1,0.0,3.483640121651552
17,1,0.0,2.3243047282475504
18,1,0.0,2.605197436744765
19,1,0.0,2.4477344932075167
20,1,0.0,2.8868122874947324
21,1,0.0,3.2909997861404663
22,1,0.0,2.902723945967768
23,1,0.0,2.755389620898844
24,1,0.0,1.89368515820056
25,1,0.0,2.181771892489561
26,1,0.0,3.0733769258215498
27,1,0.0,4.592217598860831
28,1,0.0,2.2540986814915893
29,1,0.0,3.257737237817117
30,1,0.0,3.5758004695536716
31,1,0.0,2.4609336866844775
32,1,0.0,3.0640700962048895
33,1,0.0,2.0176398604940013
34,1,0.0,3.0955179466851184
35,1,0.0,1.8485388726124976
36,1,0.0,2.570924266751449
37,1,0.0,2.4737203395681675
38,1,0.0,2.9619735285851463
39,1,0.0,2.6110109834552286
40,1,0.0,2.6649225749868375
41,1,0.0,3.928048415648054
42,1,0.0,3.3528762976386584
43,1,0.0,3.578330662189263
44,1,0.0,2.9733961811500973
45,1,0.0,4.387941920966752
46,1,0.0,3.5822119830688455
47,1,0.0,2.644094690431879
48,1,0.0,2.037624760484216
49,1,0.0,1.931771480180304
50,1,0.0,5.686233253476811
51,1,0.0,2.553101624637083
52,1,0.0,1.8905520362275277
53,1,0.0,5.790665348203753
54,1,0.0,4.657263868213675
55,1,0.0,1.773268121678138
56,1,0.0,2.2346837600097302
57,1,0.0,1.9258869787308568
58,1,0.0,2.301451789175236
59,1,0.0,1.5103579383014376
60,1,0.0,1.930303195309808
61,1,0.0,3.3975859626936646
62,1,0.0,2.5424602674526096
63,1,0.0,1.975503748640209
64,1,0.0,2.3168302065610193
65,1,0.0,2.1286560455388894
66,1,0.0,4.417085171048869
67,1,0.0,2.634486653033941
68,1,0.0,7.063354689216694
69,1,0.0,1.9970377091842693
70,1,0.0,5.784474800151665
71,1,0.0,2.2978479983213953
72,1,0.0,1.8026828361590268
73,1,0.0,1.9971196440644972
74,1,0.0,4.627083763971721
75,1,0.0,1.6502066195240803
76,1,0.0,2.6045497755508396
77,1,0.0,6.058933163063032
78,1,0.0,4.514788611088968
79,1,0.0,1.778002638541311
80,1,0.0,1.7681073455786935
81,1,0.0,2.14132825131811
82,1,0.0,2.5860283980103227
83,1,0.0,1.9162372967425412
84,1,0.0,2.395226395169381
85,1,0.0,2.7062094970599824
86,1,0.0,3.42852768953652
87,1,0.0,1.7494553346236323
88,1,0.0,2.2215912863602276
89,1,0.0,4.155565234258276
90,1,0.0,1.5928251571359742
91,1,0.0,1.9693929446650524
92,1,0.0,3.690956982305105
