community_id,module_size,mean_weighted_degree,mean_abs_log2FoldChange
1,16,9.400437499999999,2.3792211675223793
2,9,2.350888888888889,4.050334390350665
3,6,6.179166666666667,2.2834690611711816
4,5,7.6888000000000005,2.8298843741520168
5,3,3.946,2.161885984086994
6,2,0.878,3.725953187817951
7,1,0.0,3.279705495117337
8,1,0.0,4.353777973919314
9,1,0.0,5.5972262697392905
10,1,0.0,4.478340395130232
11,1,0.0,3.3651488757657413
12,1,0.0,3.853186823151279
13,1,0.0,5.96255006478652
14,1,0.0,2.716727621616461
15,1,0.0,4.029781153174065
16,1,0.0,4.788558560479817
17,1,0.0,2.5347701803891263
18,1,0.0,2.631101619290928
19,1,0.0,3.73343263315132
20,1,0.0,3.99432059424422
21,1,0.0,2.224791663979411
22,1,0.0,2.840226585676548
23,1,0.0,4.278836888134567
24,1,0.0,2.207877554825302
25,1,0.0,4.454091440616142
26,1,0.0,2.306272093745164
27,1,0.0,1.7478289418137902
28,1,0.0,1.7512285670379846
29,1,0.0,3.188785175409098
30,1,0.0,3.5632178936978214
31,1,0.0,5.504787336967354
32,1,0.0,2.901101148165045
33,1,0.0,2.4861484080785994
34,1,0.0,2.3739068327464805
35,1,0.0,2.079764932976408
36,1,0.0,3.588424503144856
37,1,0.0,3.275335088276805
38,1,0.0,4.0360276238033155
39,1,0.0,3.4750649976772823
40,1,0.0,2.8577258927587192
41,1,0.0,3.133601555334
42,1,0.0,2.9139648656862285
43,1,0.0,2.7262814601918497
44,1,0.0,3.635878345385461
45,1,0.0,3.113777877916156
46,1,0.0,6.57049655539442
47,1,0.0,4.172549284029741
48,1,0.0,2.9229241743930947
49,1,0.0,2.0868897154467176
50,1,0.0,4.8037636043087675
51,1,0.0,1.5042664365073333
52,1,0.0,1.823827411444915
53,1,0.0,2.9509745421125975
54,1,0.0,1.7302177309382132
55,1,0.0,1.573564632752257
56,1,0.0,2.0206358754239444
57,1,0.0,2.9644838675667686
58,1,0.0,1.913669264998096
59,1,0.0,1.994084770840348
60,1,0.0,2.9249695179567885
61,1,0.0,2.0764332570174973
62,1,0.0,2.4582121859853268
63,1,0.0,2.661124861827862
64,1,0.0,4.558640883666697
65,1,0.0,4.98232662809975
