gene_a,gene_b,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
FGF2,ERBB2,0.857,0.0,0.0,0.0,0.055,0.0,0.65,0.604
CDC25A,MCM10,0.85,0.0,0.0,0.0,0.788,0.0,0.0,0.321
CDK1,KPNA2,0.848,0.0,0.001,0.0,0.634,0.097,0.0,0.577
TTK,RACGAP1,0.845,0.0,0.0,0.0,0.599,0.0,0.0,0.629
TRIP13,CDK1,0.845,0.0,0.0,0.0,0.689,0.051,0.0,0.517
CDC6,FEN1,0.844,0.0,0.0,0.0,0.6,0.0,0.0,0.626
KIF18A,CDK1,0.843,0.0,0.001,0.0,0.593,0.096,0.4,0.374
CCNB1,KPNA2,0.84,0.0,0.0,0.0,0.718,0.128,0.0,0.402
PGAP3,MIEN1,0.838,0.0,0.0,0.0,0.338,0.0,0.0,0.766
CCNB1,KIF18A,0.835,0.0,0.0,0.0,0.57,0.069,0.4,0.395
DNA2,EME1,0.834,0.0,0.0,0.0,0.171,0.197,0.5,0.561
AURKA,ECT2,0.831,0.0,0.0,0.0,0.495,0.071,0.0,0.67
FEN1,CDK1,0.829,0.0,0.0,0.0,0.559,0.339,0.0,0.461
CENPI,CDK1,0.828,0.0,0.0,0.0,0.353,0.071,0.4,0.58
FANCD2,DNA2,0.828,0.0,0.0,0.0,0.216,0.292,0.0,0.715
MCM10,CCNE2,0.825,0.0,0.0,0.0,0.521,0.0,0.0,0.65
POLQ,FEN1,0.825,0.059,0.0,0.0,0.25,0.0,0.5,0.564
CCNB1,PLK4,0.824,0.0,0.0,0.0,0.515,0.177,0.0,0.596
CDC6,CDC25A,0.82,0.0,0.0,0.0,0.476,0.099,0.0,0.649
PLK4,EXO1,0.816,0.0,0.0,0.0,0.635,0.091,0.0,0.489
AURKA,NCAPH,0.814,0.0,0.0,0.0,0.556,0.246,0.0,0.49
AURKA,CCNE2,0.812,0.0,0.0,0.0,0.191,0.616,0.0,0.446
KIF11,CENPI,0.809,0.0,0.0,0.0,0.523,0.438,0.0,0.344
ERBB2,MIEN1,0.809,0.0,0.0,0.0,0.221,0.046,0.0,0.764
KIF18A,CENPI,0.808,0.0,0.0,0.0,0.595,0.169,0.0,0.474
FANCD2,EXO1,0.806,0.0,0.0,0.0,0.355,0.0,0.0,0.712
POLQ,EXO1,0.805,0.059,0.0,0.0,0.494,0.0,0.0,0.625
ERCC6L,TTK,0.805,0.0,0.0,0.0,0.696,0.067,0.0,0.368
STARD3,MIEN1,0.803,0.0,0.0,0.0,0.422,0.0,0.0,0.674
AURKA,SPAG5,0.8,0.0,0.0,0.0,0.581,0.294,0.0,0.376
CDC6,TTK,0.799,0.0,0.0,0.0,0.643,0.0,0.0,0.462
TRIP13,CCNB1,0.797,0.0,0.0,0.0,0.686,0.112,0.0,0.331
PLK4,RACGAP1,0.793,0.0,0.0,0.0,0.461,0.086,0.0,0.613
ERCC6L,MCM10,0.793,0.0,0.0,0.0,0.666,0.068,0.0,0.387
TRIP13,KIF11,0.789,0.0,0.0,0.0,0.668,0.0,0.0,0.391
KIF18A,RACGAP1,0.787,0.0,0.0,0.0,0.526,0.0,0.4,0.311
AURKA,ZWINT,0.787,0.0,0.0,0.0,0.431,0.0,0.0,0.642
FEN1,EME1,0.786,0.0,0.0,0.0,0.212,0.41,0.0,0.577
POLQ,STIL,0.784,0.0,0.0,0.0,0.784,0.0,0.0,0.0
AURKA,TTK,0.779,0.0,0.0,0.0,0.676,0.094,0.0,0.307
CCNB1,EXO1,0.773,0.0,0.0,0.0,0.521,0.328,0.0,0.35
KIF11,EXO1,0.772,0.0,0.0,0.0,0.699,0.063,0.0,0.255
TRIP13,AURKA,0.771,0.0,0.0,0.0,0.614,0.064,0.0,0.416
SPAG5,RACGAP1,0.771,0.0,0.0,0.0,0.652,0.0,0.0,0.369
ERBB2,VEGFD,0.769,0.0,0.0,0.0,0.0,0.0,0.65,0.368
NCAPH,SPAG5,0.766,0.0,0.0,0.0,0.645,0.0,0.0,0.37
TTK,ZWINT,0.766,0.0,0.0,0.0,0.644,0.0,0.0,0.371
ERBB2,PGAP3,0.764,0.0,0.0,0.0,0.542,0.0,0.0,0.506
CDC6,AURKA,0.761,0.0,0.0,0.0,0.477,0.075,0.0,0.546
TRIP13,TTK,0.759,0.0,0.0,0.0,0.614,0.0,0.0,0.402
PSMD3,STARD3,0.758,0.0,0.0,0.0,0.437,0.0,0.0,0.589
STIL,CDK1,0.756,0.0,0.0,0.0,0.469,0.0,0.0,0.558
CCNB1,CCNE2,0.755,0.0,0.0,0.0,0.456,0.0,0.0,0.569
CCNB1,SGO2,0.752,0.0,0.0,0.0,0.44,0.0,0.4,0.323
SGO2,CDK1,0.748,0.0,0.0,0.0,0.356,0.0,0.4,0.4
AURKA,FEN1,0.748,0.0,0.013,0.0,0.47,0.0,0.0,0.544
CCNB1,CCNE1,0.746,0.0,0.0,0.0,0.467,0.0,0.0,0.544
ERBB2,STARD3,0.739,0.0,0.0,0.0,0.326,0.0,0.0,0.629
KIF18A,ECT2,0.738,0.0,0.0,0.0,0.622,0.0,0.0,0.335
TTK,MCM10,0.735,0.0,0.0,0.0,0.597,0.0,0.0,0.37
TRIP13,ZWINT,0.727,0.0,0.0,0.0,0.443,0.0,0.0,0.531
AURKA,CDC25A,0.727,0.0,0.0,0.0,0.299,0.0,0.0,0.626
PLK4,MCM10,0.726,0.0,0.0,0.0,0.652,0.0,0.0,0.245
EXO1,ZWINT,0.724,0.0,0.0,0.0,0.459,0.0,0.0,0.511
CCNB1,ERCC6L,0.72,0.0,0.0,0.0,0.385,0.11,0.4,0.25
POLQ,FANCD2,0.715,0.0,0.0,0.0,0.449,0.071,0.0,0.489
KIF18A,PLK4,0.715,0.0,0.0,0.0,0.619,0.066,0.0,0.262
RACGAP1,KPNA2,0.714,0.0,0.0,0.0,0.402,0.0,0.0,0.542
CDC6,ZWINT,0.71,0.0,0.0,0.0,0.63,0.0,0.0,0.248
CENPI,ZWINT,0.71,0.0,0.0,0.0,0.197,0.0,0.0,0.654
KIF18A,SGO2,0.709,0.0,0.0,0.0,0.56,0.0,0.0,0.366
NCAPH,ERCC6L,0.709,0.0,0.0,0.0,0.572,0.067,0.0,0.33
NCAPH,EXO1,0.707,0.0,0.0,0.0,0.565,0.07,0.0,0.335
CDC25A,EXO1,0.705,0.0,0.0,0.0,0.567,0.0,0.0,0.348
NCAPH,ZWINT,0.705,0.0,0.0,0.0,0.556,0.0,0.0,0.362
ERBB2,NTRK2,0.704,0.0,0.0,0.0,0.11,0.617,0.0,0.201
CCNB1,MCM10,0.703,0.0,0.0,0.0,0.505,0.0,0.0,0.424
NTRK2,VEGFD,0.702,0.0,0.0,0.0,0.056,0.07,0.65,0.146
FANCD2,TTK,0.7,0.0,0.0,0.0,0.423,0.0,0.0,0.502
