,library_size,detected_genes,noninteger_entries
TCGA-AR-A24W-01A,56740223.0,34866,0
TCGA-EW-A1IX-01A,56748066.0,32954,0
TCGA-BH-A0EI-01A,56766178.0,31656,0
TCGA-E2-A2P5-01A,56782818.0,31370,0
TCGA-BH-A6R8-01A,56786446.0,32208,0
TCGA-BH-A18N-01A,56840923.0,31803,0
TCGA-D8-A1XF-01A,56847873.0,30902,0
TCGA-AO-A12A-01A,56849933.0,34563,0
TCGA-AR-A0TV-01A,56869463.0,31139,0
TCGA-BH-A1EV-01A,56957111.0,33097,0
TCGA-BH-A0B5-01A,57014106.0,33398,0
TCGA-BH-A0DH-11A,57114476.0,30490,0
TCGA-BH-A0HK-11A,57116595.0,29616,0
TCGA-A2-A1G6-01A,57126023.0,33691,0
TCGA-AR-A0U4-01A,57126575.0,31680,0
TCGA-E2-A15D-01A,57187521.0,34199,0
TCGA-EW-A1P4-01A,57196716.0,30540,0
TCGA-E2-A107-01A,57202127.0,30940,0
TCGA-B6-A0RM-01A,57281825.0,31986,0
TCGA-BH-A0DD-11A,57331767.0,31086,0
TCGA-E2-A106-01A,57347551.0,30541,0
TCGA-B6-A0WX-01A,57379602.0,32349,0
TCGA-AO-A0J7-01A,57414976.0,30165,0
TCGA-A7-A6VV-01A,57498758.0,32902,0
TCGA-A2-A0EY-01A,57558901.0,34735,0
TCGA-GM-A3XG-01A,57609702.0,32061,0
TCGA-A8-A07U-01A,57613267.0,33345,0
TCGA-E2-A14O-01A,57622032.0,29982,0
TCGA-A1-A0SJ-01A,57652735.0,31269,0
TCGA-A2-A0T5-01A,57672257.0,31287,0
TCGA-AC-A2QI-01A,57713373.0,32178,0
TCGA-AR-A1AW-01A,57750605.0,34603,0
TCGA-A8-A09M-01A,57751414.0,30816,0
TCGA-A1-A0SP-01A,57792424.0,32715,0
TCGA-AR-A1AH-01A,57824411.0,32569,0
TCGA-E2-A159-01A,57860813.0,33462,0
TCGA-A2-A0EM-01A,57943076.0,31410,0
TCGA-A7-A3IY-01A,57953467.0,32834,0
TCGA-BH-A0B3-01A,57971543.0,31398,0
TCGA-C8-A26X-01A,57975938.0,31178,0
TCGA-BH-A0BF-01A,58022437.0,32924,0
TCGA-B6-A0WS-01A,58080655.0,32153,0
TCGA-BH-A0BS-11A,58149180.0,33615,0
TCGA-A2-A0YH-01A,58153313.0,30849,0
TCGA-AC-A2FM-01A,58239317.0,32665,0
TCGA-D8-A147-01A,58271170.0,34406,0
TCGA-A8-A075-01A,58378198.0,31962,0
TCGA-LD-A66U-01A,58455210.0,33738,0
TCGA-BH-A0DX-01A,58529150.0,32742,0
TCGA-AO-A126-01A,58552991.0,30341,0
TCGA-AC-A3OD-01A,58602752.0,51420,0
TCGA-A2-A04R-01A,58611514.0,30679,0
TCGA-BH-A0W5-01A,58614558.0,33646,0
TCGA-AO-A0JA-01A,58619203.0,31790,0
TCGA-AC-A6IV-01A,58668735.0,35421,0
TCGA-A7-A3IZ-01A,58717371.0,32839,0
TCGA-AR-A1AL-01A,58790620.0,34776,0
TCGA-BH-A0B7-01A,58827927.0,32762,0
TCGA-A8-A08C-01A,58838126.0,32376,0
TCGA-S3-A6ZF-01A,58844253.0,34052,0
TCGA-OL-A66O-01A,58916844.0,32869,0
TCGA-BH-A18S-01A,58936097.0,31341,0
TCGA-A2-A0EV-01A,58974460.0,32268,0
TCGA-D8-A146-01A,58976061.0,34318,0
TCGA-BH-A0WA-01A,59030783.0,31235,0
TCGA-AN-A0FV-01A,59078179.0,32400,0
TCGA-A8-A07S-01A,59080297.0,31937,0
TCGA-A8-A06R-01A,59117258.0,29549,0
TCGA-AN-A0XU-01A,59160136.0,34174,0
TCGA-A2-A0CU-01A,59160708.0,32846,0
TCGA-BH-A0B1-01A,59164788.0,31451,0
TCGA-AN-A0XV-01A,59406912.0,33432,0
TCGA-E2-A14Q-01A,59480109.0,32782,0
TCGA-A2-A04V-01A,59504695.0,32785,0
TCGA-BH-A18K-01A,59601729.0,33568,0
TCGA-E9-A226-01A,59637526.0,25584,0
TCGA-AR-A0TU-01A,59670420.0,30493,0
TCGA-E2-A15J-01A,59694531.0,31586,0
TCGA-E2-A10A-01A,59704458.0,32343,0
TCGA-LL-A73Y-01A,59733332.0,36003,0
TCGA-A7-A13H-01A,59738567.0,34880,0
TCGA-A8-A09B-01A,59740029.0,33910,0
TCGA-BH-A0DP-11A,59892430.0,32945,0
TCGA-A2-A3XU-01A,60005261.0,28843,0
TCGA-AR-A1AI-01A,60020473.0,32160,0
TCGA-A2-A3XZ-01A,60033203.0,33516,0
TCGA-AO-A03L-01A,60093901.0,31943,0
TCGA-S3-A6ZG-01A,60114449.0,34817,0
TCGA-BH-A18J-01A,60119413.0,31196,0
TCGA-E9-A3Q9-01A,60124135.0,33191,0
TCGA-AR-A0TS-01A,60132674.0,35210,0
TCGA-B6-A0WY-01A,60178407.0,31479,0
TCGA-B6-A408-01A,60234887.0,36465,0
TCGA-BH-A0HY-01A,60297585.0,31003,0
TCGA-C8-A3M7-01A,60300611.0,34131,0
TCGA-EW-A1PF-01A,60389645.0,33972,0
TCGA-BH-A0BZ-11A,60397539.0,33409,0
TCGA-AN-A0XP-01A,60398071.0,30859,0
TCGA-BH-A18U-01A,60400132.0,32743,0
TCGA-D8-A1X8-01A,60420578.0,32338,0
TCGA-BH-A6R9-01A,60421867.0,31775,0
TCGA-LL-A6FP-01A,60429672.0,30496,0
TCGA-A2-A0D3-01A,60502468.0,31579,0
TCGA-A1-A0SD-01A,60545003.0,32797,0
TCGA-HN-A2NL-01A,60590896.0,33026,0
TCGA-BH-A0HU-01A,60605947.0,32121,0
TCGA-BH-A0HL-01A,60643722.0,31774,0
TCGA-A2-A0YL-01A,60650394.0,32735,0
TCGA-BH-A203-11A,60678945.0,36932,0
TCGA-AR-A0TP-01A,60686253.0,33258,0
TCGA-A2-A04Q-01A,60723944.0,33402,0
TCGA-A8-A08Z-01A,60750785.0,32314,0
TCGA-EW-A1PH-01A,60751334.0,34671,0
TCGA-B6-A0RL-01A,60782894.0,34605,0
TCGA-A8-A0A7-01A,60788469.0,32986,0
TCGA-AN-A0FT-01A,60809497.0,30373,0
TCGA-A2-A0YG-01A,60818812.0,31868,0
TCGA-AR-A0U2-01A,60882861.0,33503,0
TCGA-E2-A14U-01A,60901116.0,34284,0
TCGA-E9-A1R7-11A,60941735.0,33905,0
TCGA-BH-A18V-01A,61023767.0,33411,0
TCGA-A1-A0SE-01A,61032351.0,32476,0
TCGA-A2-A25B-01A,61063521.0,32738,0
TCGA-A7-A0CH-11A,61068392.0,32140,0
TCGA-AO-A12G-01A,61070188.0,29898,0
TCGA-A8-A09C-01A,61221447.0,34783,0
TCGA-GM-A3XN-01A,61257923.0,35744,0
TCGA-E9-A1R7-01A,61277563.0,31860,0
TCGA-D8-A1JS-01A,61397390.0,28848,0
TCGA-AR-A0TW-01A,61425988.0,28684,0
TCGA-B6-A0X7-01A,61426194.0,33312,0
TCGA-A7-A0CE-01A,61510275.0,32859,0
TCGA-BH-A18N-11A,61520575.0,35147,0
TCGA-AN-A0XS-01A,61523724.0,31962,0
TCGA-B6-A401-01A,61535976.0,34810,0
TCGA-B6-A0RT-01A,61604331.0,35694,0
TCGA-AR-A24O-01A,61653555.0,35207,0
TCGA-AR-A0TX-01A,61683842.0,32335,0
TCGA-E9-A2JS-01A,61692891.0,34188,0
TCGA-D8-A3Z6-01A,61705884.0,33147,0
TCGA-BH-A0BS-01A,61717201.0,29357,0
TCGA-BH-A0DV-11A,61727597.0,35965,0
TCGA-B6-A0IN-01A,61739086.0,31424,0
TCGA-A8-A08T-01A,61759706.0,34385,0
TCGA-BH-A0DG-11A,61896381.0,36320,0
TCGA-BH-A1F5-01A,61928103.0,33311,0
TCGA-S3-A6ZH-01A,61928599.0,32130,0
TCGA-AR-A5QN-01A,61935086.0,33000,0
TCGA-A2-A3XV-01A,62023062.0,27662,0
TCGA-GM-A3XL-01A,62046096.0,33826,0
TCGA-E2-A105-01A,62086075.0,33165,0
TCGA-C8-A8HQ-01A,62097622.0,35820,0
TCGA-GI-A2C9-01A,62102747.0,34351,0
TCGA-BH-A0W4-01A,62105534.0,32954,0
TCGA-E2-A15T-01A,62115420.0,31804,0
TCGA-A2-A0YD-01A,62120846.0,32537,0
TCGA-A2-A0T3-01A,62142222.0,32992,0
TCGA-A2-A3XS-01A,62143200.0,34196,0
TCGA-A7-A6VY-01A,62223450.0,33560,0
TCGA-A2-A0YE-01A,62232052.0,32161,0
TCGA-A8-A07P-01A,62293062.0,32433,0
TCGA-AN-A03Y-01A,62334243.0,31846,0
TCGA-BH-A0BO-01A,62343769.0,32965,0
TCGA-B6-A0IB-01A,62418376.0,31918,0
TCGA-AR-A1AN-01A,62490094.0,31019,0
TCGA-A7-A0DC-01A,62493632.0,43151,0
TCGA-A1-A0SK-01A,62522284.0,33125,0
TCGA-A2-A3XX-01A,62551616.0,33110,0
TCGA-D8-A1XY-01A,62591448.0,33832,0
TCGA-A8-A07W-01A,62597629.0,31880,0
TCGA-C8-A12O-01A,62609579.0,32455,0
TCGA-D8-A27K-01A,62618687.0,35038,0
TCGA-OL-A6VR-01A,62643168.0,33855,0
TCGA-AN-A0AR-01A,62714164.0,35292,0
TCGA-B6-A0IA-01A,62737316.0,28218,0
TCGA-A2-A25D-01A,62775655.0,32596,0
TCGA-BH-A0B5-11A,62801338.0,30048,0
TCGA-A2-A0SY-01A,62804204.0,32176,0
TCGA-BH-A203-01A,62877552.0,34662,0
TCGA-LD-A7W5-01A,62879551.0,35199,0
TCGA-EW-A1PB-01A,63037528.0,32179,0
TCGA-LL-A441-01A,63042246.0,37288,0
TCGA-A2-A25E-01A,63066876.0,33894,0
TCGA-E2-A158-01A,63081843.0,33443,0
TCGA-BH-A18Q-11A,63096678.0,36756,0
TCGA-E2-A14V-01A,63102577.0,32775,0
TCGA-E9-A1RF-11A,63166569.0,32632,0
TCGA-BH-A1FG-01A,63187072.0,30380,0
TCGA-A7-A0DA-01A,63240518.0,33604,0
TCGA-AO-A12F-01A,63287834.0,33326,0
TCGA-EW-A424-01A,63429873.0,33776,0
TCGA-BH-A208-01A,63499146.0,31279,0
TCGA-BH-A0H3-01A,63531176.0,33935,0
TCGA-A2-A0EO-01A,63553670.0,32123,0
TCGA-E2-A15A-01A,63585788.0,32640,0
TCGA-AR-A24T-01A,63608196.0,34000,0
TCGA-A2-A3XW-01A,63764846.0,30378,0
TCGA-E2-A1L6-01A,63778359.0,35128,0
TCGA-A2-A1G0-01A,63892281.0,34084,0
TCGA-E2-A109-01A,63895466.0,33150,0
TCGA-AQ-A0Y5-01A,63988272.0,32629,0
TCGA-A2-A04T-01A,64000742.0,33427,0
TCGA-A2-A0CQ-01A,64038679.0,34813,0
TCGA-A2-A0T0-01A,64043789.0,32010,0
TCGA-B6-A0RQ-01A,64076749.0,30350,0
TCGA-A8-A093-01A,64077929.0,31942,0
TCGA-A2-A3Y0-01A,64137590.0,33071,0
TCGA-AC-A7VB-01A,64142247.0,33256,0
TCGA-D8-A141-01A,64147517.0,33626,0
TCGA-E9-A1RH-11A,64151393.0,33053,0
TCGA-D8-A1XL-01A,64169165.0,31456,0
TCGA-E2-A15L-01A,64245193.0,32032,0
TCGA-EW-A423-01A,64275629.0,32711,0
TCGA-EW-A2FS-01A,64292807.0,37126,0
TCGA-A8-A08L-01A,64403833.0,35199,0
TCGA-AR-A255-01A,64425409.0,35097,0
TCGA-A2-A04X-01A,64428687.0,33634,0
TCGA-B6-A0RI-01A,64438408.0,32190,0
TCGA-AN-A046-01A,64448304.0,33269,0
TCGA-BH-A42T-01A,64481303.0,31949,0
TCGA-D8-A27T-01A,64589084.0,33280,0
TCGA-BH-A0AZ-11A,64717137.0,36956,0
TCGA-A2-A0T1-01A,64760960.0,32603,0
TCGA-BH-A0EB-01A,64796710.0,32443,0
TCGA-A1-A0SN-01A,64898052.0,31916,0
TCGA-AO-A0JG-01A,64917700.0,34730,0
TCGA-BH-A0HP-01A,65019538.0,33077,0
TCGA-A2-A0SX-01A,65036717.0,34772,0
TCGA-AO-A1KP-01A,65077570.0,35630,0
TCGA-BH-A42U-01A,65138173.0,32643,0
TCGA-A7-A3RF-01A,65187405.0,31609,0
TCGA-BH-A0BD-01A,65212152.0,33807,0
TCGA-A8-A06P-01A,65308860.0,32953,0
TCGA-GI-A2C9-11A,65335900.0,36008,0
TCGA-B6-A0RO-01A,65362851.0,29664,0
TCGA-E2-A2P6-01A,65434759.0,34747,0
TCGA-A8-A079-01A,65459260.0,32371,0
TCGA-AR-A24U-01A,65518366.0,33772,0
TCGA-BH-A0C0-11A,65587290.0,35017,0
TCGA-GM-A3NY-01A,65591531.0,34657,0
TCGA-AN-A0FX-01A,65671231.0,34509,0
TCGA-AC-A2FB-01A,65671775.0,35078,0
TCGA-AR-A2LK-01A,65812294.0,34316,0
TCGA-A2-A259-01A,65817243.0,34143,0
TCGA-C8-A12K-01A,65918159.0,32597,0
TCGA-B6-A0IO-01A,66018028.0,34137,0
TCGA-A8-A08J-01A,66021670.0,34835,0
TCGA-A7-A0CE-11A,66049040.0,33864,0
TCGA-AO-A1KS-01A,66059245.0,34514,0
TCGA-JL-A3YX-01A,66084207.0,33226,0
TCGA-EW-A1PE-01A,66125200.0,34757,0
TCGA-A2-A0YM-01A,66146931.0,32061,0
TCGA-E2-A10E-01A,66209083.0,33269,0
TCGA-B6-A40B-01A,66226771.0,32476,0
TCGA-A2-A0EP-01A,66228201.0,34047,0
TCGA-C8-A1HO-01A,66232342.0,32580,0
TCGA-E9-A1RI-01A,66317460.0,35534,0
TCGA-D8-A1JU-01A,66339210.0,33463,0
TCGA-EW-A1J6-01A,66406606.0,34680,0
TCGA-E9-A248-01A,66430665.0,34691,0
TCGA-BH-A1FM-01A,66508372.0,31161,0
TCGA-D8-A1Y3-01A,66624532.0,30013,0
TCGA-D8-A27G-01A,66640738.0,33301,0
TCGA-E9-A1QZ-01A,66646126.0,34973,0
TCGA-E2-A3DX-01A,66667110.0,34172,0
TCGA-E9-A3QA-01A,66691781.0,33954,0
TCGA-EW-A1OZ-01A,66736282.0,32024,0
TCGA-JL-A3YW-01A,66751614.0,33305,0
TCGA-AR-A256-01A,66757436.0,33192,0
TCGA-LL-A440-01A,66792404.0,35675,0
TCGA-AN-A04C-01A,66832259.0,32213,0
TCGA-A8-A099-01A,66845885.0,29600,0
TCGA-E9-A1R5-01A,66851741.0,32705,0
TCGA-E9-A244-01A,66872593.0,33309,0
TCGA-B6-A0I9-01A,66879627.0,33838,0
TCGA-E2-A14S-01A,66917562.0,33706,0
TCGA-A2-A3XT-01A,66960414.0,33860,0
TCGA-A2-A0CW-01A,66976080.0,31941,0
TCGA-BH-A18T-01A,67062953.0,32004,0
TCGA-AR-A1AO-01A,67076935.0,34175,0
TCGA-A8-A08S-01A,67092666.0,33820,0
TCGA-D8-A1Y2-01A,67107939.0,32511,0
TCGA-D8-A27H-01A,67126816.0,35048,0
TCGA-E9-A24A-01A,67176659.0,33880,0
TCGA-BH-A208-11A,67280027.0,36100,0
TCGA-AC-A2FF-01A,67286668.0,34951,0
TCGA-A2-A3KD-01A,67294263.0,33249,0
TCGA-BH-A0DL-11A,67304826.0,36263,0
TCGA-BH-A18R-11A,67330858.0,36100,0
TCGA-BH-A201-01A,67347420.0,34501,0
TCGA-A8-A06O-01A,67377853.0,35750,0
TCGA-BH-A18L-01A,67394678.0,30692,0
TCGA-E2-A1L8-01A,67395168.0,34424,0
TCGA-AC-A6IW-01A,67418679.0,33389,0
TCGA-B6-A0I8-01A,67476531.0,32970,0
TCGA-BH-A1FL-01A,67513307.0,33880,0
TCGA-BH-A0BC-01A,67583333.0,32537,0
TCGA-AN-A0AM-01A,67609492.0,32981,0
TCGA-AR-A0TY-01A,67653713.0,32086,0
TCGA-BH-A1EN-01A,67657536.0,29060,0
TCGA-BH-A0BZ-01A,67667626.0,31798,0
TCGA-BH-A0AV-01A,67698942.0,31763,0
TCGA-BH-A0BV-11A,67751502.0,35409,0
TCGA-B6-A0I1-01A,67791015.0,34598,0
TCGA-A8-A07G-01A,67855308.0,33957,0
TCGA-E2-A1IH-01A,67935623.0,33371,0
TCGA-BH-A42V-01A,67961346.0,35125,0
TCGA-BH-A0E7-01A,67977972.0,32501,0
TCGA-E9-A1RF-01A,68069517.0,33806,0
TCGA-D8-A27N-01A,68083671.0,33334,0
TCGA-A8-A07F-01A,68225823.0,34905,0
TCGA-AC-A23H-11A,68239603.0,35735,0
TCGA-AN-A04A-01A,68281533.0,30936,0
TCGA-A1-A0SO-01A,68315834.0,31340,0
TCGA-BH-A0BL-01A,68318528.0,35408,0
TCGA-A2-A0T6-01A,68353372.0,33604,0
TCGA-AR-A2LM-01A,68392383.0,35812,0
TCGA-E9-A1NA-01A,68452357.0,32040,0
TCGA-BH-A0EE-01A,68478274.0,32948,0
TCGA-A7-A13G-01A,68478660.0,41266,0
TCGA-A1-A0SH-01A,68534939.0,31075,0
TCGA-A2-A0T7-01A,68593062.0,34081,0
TCGA-E2-A1LS-01A,68637241.0,32759,0
TCGA-B6-A0IE-01A,68719990.0,32362,0
TCGA-BH-A0BG-01A,68777711.0,33484,0
TCGA-E9-A227-01A,68905990.0,33538,0
TCGA-AR-A0TR-01A,68967969.0,32649,0
TCGA-D8-A1JJ-01A,68972193.0,33044,0
TCGA-E9-A247-01A,69021600.0,34869,0
TCGA-BH-A1FJ-01A,69043739.0,33297,0
TCGA-C8-A26Z-01A,69068989.0,33606,0
TCGA-AO-A12H-01A,69095363.0,32034,0
TCGA-GI-A2C8-01A,69097467.0,34268,0
TCGA-BH-A209-11A,69160257.0,36230,0
TCGA-A8-A08R-01A,69189240.0,34761,0
TCGA-AN-A0FN-01A,69219031.0,33530,0
TCGA-A8-A092-01A,69226799.0,33103,0
TCGA-B6-A0RS-01A,69246070.0,31907,0
TCGA-A7-A426-01A,69285817.0,35426,0
TCGA-BH-A0HW-01A,69344705.0,32534,0
TCGA-E9-A22G-01A,69359550.0,33724,0
TCGA-A8-A083-01A,69452021.0,30167,0
TCGA-B6-A0RH-01A,69469238.0,31600,0
TCGA-E9-A1N4-11A,69504774.0,38101,0
TCGA-AN-A041-01A,69513547.0,33073,0
TCGA-E9-A1RI-11A,69529890.0,34222,0
TCGA-AO-A1KT-01A,69560152.0,33031,0
TCGA-A2-A0EN-01A,69565162.0,34044,0
TCGA-C8-A12Q-01A,69569467.0,33415,0
TCGA-B6-A0RP-01A,69572819.0,32672,0
TCGA-EW-A1J3-01A,69634228.0,36139,0
TCGA-A2-A0ET-01A,69715661.0,31691,0
TCGA-E9-A22E-01A,69791641.0,31860,0
TCGA-E2-A10B-01A,69901319.0,32778,0
TCGA-C8-A26Y-01A,69949974.0,36393,0
TCGA-C8-A1HJ-01A,70022620.0,35530,0
TCGA-D8-A1XQ-01A,70022626.0,32176,0
TCGA-BH-A1FH-01A,70026731.0,34874,0
TCGA-AO-A03P-01A,70119472.0,32569,0
TCGA-D8-A1JM-01A,70124444.0,32108,0
TCGA-BH-A18R-01A,70171584.0,34014,0
TCGA-A7-A0CD-01A,70173533.0,33289,0
TCGA-AQ-A04J-01A,70248065.0,36734,0
TCGA-BH-A204-11A,70258152.0,34105,0
TCGA-BH-A1FB-01A,70263598.0,36477,0
TCGA-A8-A0A9-01A,70313877.0,34282,0
TCGA-D8-A27M-01A,70357127.0,35690,0
TCGA-A2-A0YC-01A,70374990.0,33176,0
TCGA-B6-A0IG-01A,70505339.0,32839,0
TCGA-AN-A0AJ-01A,70537889.0,32997,0
TCGA-A7-A13G-11A,70579371.0,32867,0
TCGA-AN-A0G0-01A,70581352.0,31871,0
TCGA-C8-A273-01A,70613918.0,32081,0
TCGA-D8-A1JT-01A,70641715.0,30265,0
TCGA-C8-A278-01A,70723227.0,33036,0
TCGA-D8-A1XW-01A,70736848.0,33822,0
TCGA-GM-A2DH-01A,70745107.0,37022,0
TCGA-A8-A076-01A,70768245.0,35431,0
TCGA-AO-A0J9-01A,70776914.0,33114,0
TCGA-A8-A07R-01A,70781618.0,32109,0
TCGA-A8-A086-01A,70793459.0,34924,0
TCGA-D8-A1X7-01A,70839643.0,32023,0
TCGA-BH-A1FD-01A,70847888.0,33202,0
TCGA-BH-A0DK-11A,70855544.0,34455,0
TCGA-AN-A0FW-01A,70895848.0,33098,0
TCGA-E9-A1R0-01A,70913309.0,33629,0
TCGA-A8-A09Q-01A,70926378.0,34398,0
TCGA-A2-A1FX-01A,70947566.0,33329,0
TCGA-AC-A23H-01A,70959525.0,32740,0
TCGA-BH-A1FC-01A,71013361.0,31921,0
TCGA-AR-A24R-01A,71040010.0,33704,0
TCGA-A2-A1FW-01A,71052453.0,34589,0
TCGA-A2-A0YI-01A,71061278.0,34381,0
TCGA-AQ-A1H3-01A,71098493.0,33929,0
TCGA-AN-A04D-01A,71102538.0,32670,0
TCGA-A8-A09R-01A,71104839.0,33457,0
TCGA-E9-A1RE-01A,71141256.0,32643,0
TCGA-B6-A0IP-01A,71162221.0,34207,0
TCGA-BH-A0DL-01A,71226266.0,33761,0
TCGA-BH-A0H7-01A,71277238.0,31138,0
TCGA-D8-A1XK-01A,71287257.0,33229,0
TCGA-E9-A1RH-01A,71412833.0,32154,0
TCGA-A8-A09G-01A,71477559.0,32901,0
TCGA-AR-A252-01A,71501008.0,35296,0
TCGA-A2-A0CV-01A,71545464.0,32236,0
TCGA-AR-A24P-01A,71795565.0,34612,0
TCGA-D8-A1XZ-01A,71838630.0,33472,0
TCGA-A8-A07E-01A,71845649.0,33240,0
TCGA-BH-A0DQ-11A,71850112.0,35890,0
TCGA-AO-A1KO-01A,71929832.0,34825,0
TCGA-AR-A24S-01A,72052162.0,34386,0
TCGA-A2-A0YT-01A,72080914.0,30404,0
TCGA-D8-A27I-01A,72167400.0,35493,0
TCGA-AO-A124-01A,72224374.0,33616,0
TCGA-AR-A24K-01A,72292593.0,34018,0
TCGA-E2-A1LG-01A,72302713.0,33775,0
TCGA-B6-A1KN-01A,72326580.0,34503,0
TCGA-E2-A15S-01A,72397346.0,34486,0
TCGA-BH-A209-01A,72412249.0,34757,0
TCGA-D8-A1XO-01A,72445421.0,32901,0
TCGA-EW-A1IW-01A,72545720.0,34928,0
TCGA-C8-A275-01A,72547979.0,32651,0
TCGA-D8-A1J8-01A,72588771.0,33086,0
TCGA-AR-A24V-01A,72593194.0,33685,0
TCGA-D8-A1XJ-01A,72658130.0,30792,0
TCGA-E9-A228-01A,72709086.0,34337,0
TCGA-A8-A08G-01A,72742074.0,43335,0
TCGA-C8-A26W-01A,72749258.0,34992,0
TCGA-C8-A12Y-01A,72771527.0,28167,0
TCGA-A2-A0YF-01A,72856963.0,31561,0
TCGA-E2-A1LI-01A,72862289.0,35064,0
TCGA-D8-A13Z-01A,72880604.0,33021,0
TCGA-AR-A24N-01A,72908686.0,33855,0
TCGA-AC-A23C-01A,72937294.0,36396,0
TCGA-AO-A128-01A,72941840.0,34382,0
TCGA-A7-A3J1-01A,73003295.0,35783,0
TCGA-C8-A1HF-01A,73044410.0,31771,0
TCGA-AN-A0AT-01A,73048810.0,33882,0
TCGA-A8-A06T-01A,73108139.0,34620,0
TCGA-A8-A07O-01A,73108479.0,32027,0
TCGA-A8-A09V-01A,73138960.0,37366,0
TCGA-BH-A1F2-01A,73148829.0,32687,0
TCGA-E9-A1NG-01A,73281826.0,32715,0
TCGA-A1-A0SI-01A,73332059.0,33240,0
TCGA-B6-A40C-01A,73395391.0,33609,0
TCGA-EW-A2FV-01A,73448474.0,33828,0
TCGA-BH-A0H0-01A,73573671.0,32723,0
TCGA-A2-A1FV-01A,73581768.0,35713,0
TCGA-AO-A0J2-01A,73763063.0,31820,0
TCGA-AO-A12E-01A,73808391.0,33708,0
TCGA-A7-A2KD-01A,73821462.0,35627,0
TCGA-D8-A1X6-01A,73860700.0,31451,0
TCGA-AC-A2QH-01A,73893785.0,43371,0
TCGA-AC-A2FB-11A,73931781.0,34635,0
TCGA-C8-A1HN-01A,73958472.0,32620,0
TCGA-AR-A24Q-01A,74182117.0,33297,0
TCGA-A8-A0A2-01A,74212894.0,37338,0
TCGA-B6-A0IQ-01A,74235517.0,35650,0
TCGA-C8-A274-01A,74238713.0,33349,0
TCGA-B6-A1KI-01A,74272451.0,33747,0
TCGA-E2-A1B4-01A,74322790.0,30888,0
TCGA-D8-A27R-01A,74378583.0,33788,0
TCGA-BH-A1FN-11A,74400345.0,35338,0
TCGA-D8-A27E-01A,74718946.0,32596,0
TCGA-A2-A0ER-01A,74753683.0,31805,0
TCGA-BH-A18I-01A,74872189.0,34465,0
TCGA-E2-A155-01A,74954414.0,31980,0
TCGA-D8-A27F-01A,74996428.0,34535,0
TCGA-C8-A1HE-01A,75040755.0,33322,0
TCGA-AC-A2FF-11A,75086221.0,36353,0
TCGA-BH-A0DV-01A,75100439.0,29381,0
TCGA-AN-A0XO-01A,75176436.0,32701,0
TCGA-EW-A1IY-01A,75239776.0,34423,0
TCGA-EW-A1J1-01A,75278361.0,33752,0
TCGA-AC-A23E-01A,75287606.0,31938,0
TCGA-A2-A0SV-01A,75304514.0,32254,0
TCGA-A8-A081-01A,75379907.0,36298,0
TCGA-E9-A1RB-11A,75558506.0,36405,0
TCGA-B6-A0IC-01A,75616223.0,32496,0
TCGA-E9-A1NE-01A,75688176.0,36152,0
TCGA-AQ-A1H2-01A,75688489.0,31571,0
TCGA-E9-A229-01A,75708673.0,35451,0
TCGA-E2-A15P-01A,75741160.0,34269,0
TCGA-BH-A1F8-01A,75805403.0,32860,0
TCGA-D8-A1XM-01A,75857932.0,34406,0
TCGA-A8-A0AB-01A,75971418.0,35005,0
TCGA-D8-A1JE-01A,76037985.0,31923,0
TCGA-E9-A249-01A,76042669.0,33599,0
TCGA-E9-A1RC-11A,76057814.0,32867,0
TCGA-AN-A0FY-01A,76112473.0,35261,0
TCGA-E2-A1LS-11A,76176758.0,32077,0
TCGA-AC-A3HN-01A,76191149.0,35159,0
TCGA-D8-A27L-01A,76274003.0,36944,0
TCGA-AC-A2FG-01A,76286514.0,34985,0
TCGA-A7-A26F-01A,76605936.0,49230,0
TCGA-LL-A442-01A,76623197.0,32496,0
TCGA-AR-A0TQ-01A,76740902.0,33721,0
TCGA-E9-A1N3-01A,76838155.0,34038,0
TCGA-D8-A1XT-01A,76895073.0,33669,0
TCGA-BH-A1FE-01A,76915667.0,35410,0
TCGA-E9-A22B-01A,77262500.0,32869,0
TCGA-C8-A27A-01A,77438797.0,36387,0
TCGA-E9-A1RD-11A,77499185.0,34598,0
TCGA-BH-A0HO-01A,77516847.0,31500,0
TCGA-A2-A1G4-01A,77591883.0,34404,0
TCGA-E2-A1L9-01A,77679100.0,34803,0
TCGA-EW-A2FR-01A,77781568.0,34995,0
TCGA-D8-A1JF-01A,77974459.0,32937,0
TCGA-A2-A3XY-01A,78023832.0,35021,0
TCGA-D8-A1XR-01A,78039876.0,34039,0
TCGA-EW-A1J5-01A,78201045.0,36634,0
TCGA-B6-A0IJ-01A,78331490.0,32724,0
TCGA-AR-A254-01A,78416675.0,34373,0
TCGA-C8-A27B-01A,78466412.0,33058,0
TCGA-BH-A1EN-11A,78557035.0,34993,0
TCGA-AO-A0J6-01A,78691472.0,32112,0
TCGA-D8-A1JA-01A,78696124.0,32896,0
TCGA-AR-A250-01A,78801122.0,33911,0
TCGA-B6-A0IM-01A,78818117.0,33210,0
TCGA-D8-A1Y1-01A,79068257.0,32332,0
TCGA-E9-A22H-01A,79113115.0,34647,0
TCGA-A2-A0D4-01A,79449540.0,32455,0
TCGA-AO-A0J3-01A,79475083.0,33195,0
TCGA-E9-A1RD-01A,79509582.0,35093,0
TCGA-A7-A3J0-01A,79520589.0,33247,0
