,library_size,detected_genes,noninteger_entries
TCGA-B6-A0RG-01A,41440699.0,29710,0
TCGA-E2-A1IL-01A,41477086.0,32284,0
TCGA-E2-A153-01A,41529000.0,29189,0
TCGA-EW-A1OW-01A,41539916.0,31588,0
TCGA-EW-A1OV-01A,41606539.0,31507,0
TCGA-AR-A1AT-01A,41615806.0,28102,0
TCGA-B6-A0WV-01A,41656046.0,30436,0
TCGA-BH-A0HN-01A,41660369.0,30026,0
TCGA-C8-A1HM-01A,41665033.0,31249,0
TCGA-EW-A1P1-01A,41673122.0,31864,0
TCGA-BH-A18H-01A,41748828.0,31328,0
TCGA-AC-A7VC-01A,41754927.0,30356,0
TCGA-EW-A1OY-01A,41786959.0,30884,0
TCGA-W8-A86G-01A,41912704.0,34216,0
TCGA-E2-A14Y-01A,41949340.0,28462,0
TCGA-OL-A5D7-01A,41956539.0,31927,0
TCGA-A7-A4SD-01A,41974400.0,32545,0
TCGA-AC-A3YJ-01A,41994433.0,29574,0
TCGA-E2-A570-01A,42092743.0,31760,0
TCGA-LL-A5YN-01A,42145755.0,31094,0
TCGA-OL-A5RZ-01A,42149405.0,30568,0
TCGA-BH-A18S-11A,42249057.0,30954,0
TCGA-A2-A0T4-01A,42272243.0,31042,0
TCGA-BH-A18U-11A,42387783.0,33155,0
TCGA-E9-A1NF-01A,42424379.0,31581,0
TCGA-E9-A1N8-01A,42436382.0,32309,0
TCGA-E2-A1IG-11A,42465919.0,31951,0
TCGA-BH-A1F6-01A,42724015.0,30980,0
TCGA-BH-A1FN-01A,42730192.0,32964,0
TCGA-BH-A1EY-01A,42808931.0,32474,0
TCGA-AR-A2LR-01A,42859578.0,33691,0
TCGA-BH-A8G0-01A,42898181.0,33693,0
TCGA-LL-A7T0-01A,42936789.0,31834,0
TCGA-D8-A1JP-01A,43015476.0,33970,0
TCGA-E9-A1R2-01A,43025309.0,32556,0
TCGA-A8-A07J-01A,43097836.0,29654,0
TCGA-OL-A66P-01A,43188304.0,29865,0
TCGA-AC-A5XS-01A,43205516.0,30830,0
TCGA-D8-A1JB-01A,43345613.0,33647,0
TCGA-AR-A1AS-01A,43418680.0,28409,0
TCGA-A2-A0CM-01A,43421498.0,33334,0
TCGA-AR-A1AQ-01A,43505587.0,30392,0
TCGA-E9-A295-01A,43572582.0,31499,0
TCGA-E9-A1ND-01A,43633285.0,31306,0
TCGA-PE-A5DE-01A,43655905.0,31361,0
TCGA-EW-A1P0-01A,43766339.0,31058,0
TCGA-E9-A1RA-01A,43839021.0,32369,0
TCGA-OL-A5RW-01A,43858931.0,31774,0
TCGA-AC-A3YI-01A,43918914.0,32467,0
TCGA-BH-A0BA-11A,43964023.0,31632,0
TCGA-BH-A18K-11A,43982581.0,33789,0
TCGA-BH-A0E1-11A,44066487.0,30979,0
TCGA-BH-A0C0-01A,44108980.0,30653,0
TCGA-BH-A18J-11A,44265485.0,30323,0
TCGA-EW-A1PA-01A,44354802.0,33891,0
TCGA-A8-A09N-01A,44404803.0,29587,0
TCGA-AO-A03O-01A,44471404.0,29251,0
TCGA-PL-A8LZ-01A,44503430.0,31496,0
TCGA-OL-A66J-01A,44569453.0,31744,0
TCGA-BH-A0BQ-01A,44635758.0,29533,0
TCGA-AR-A1AP-01A,44650040.0,31220,0
TCGA-B6-A0I6-01A,44694529.0,32968,0
TCGA-D8-A1XB-01A,44710469.0,31809,0
TCGA-E2-A15G-01A,44776054.0,32060,0
TCGA-OL-A5RX-01A,44831066.0,33337,0
TCGA-E9-A5FK-01A,44897975.0,29988,0
TCGA-OL-A5RV-01A,44903527.0,34547,0
TCGA-E9-A1N9-01A,45017430.0,31871,0
TCGA-A2-A0CS-01A,45018931.0,28178,0
TCGA-AC-A2FK-01A,45059686.0,34403,0
TCGA-E2-A574-01A,45071175.0,30376,0
